2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:30 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:31 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:32 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:33 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:34 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=5
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:35 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
